comp_name,dep_status,duration,end_date,etl_type,failed_steps,i_load_plan,name,nb_run,row_tag,running_steps,sess_no,start_date,status,succ_steps,total_steps
116891 - 1 - sds-fia-app om custom load,,-1:58,2020-06-11 05:08:05.0,CDP-OCI,0,460,sds-fia-app om custom load,1,335,0,116891,2020-06-11 05:09:40.0,Completed,15,15
116890 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 05:06:32.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,336,0,116890,2020-06-11 05:06:29.0,Completed,0,5
116889 - 1 - sds-oalodi-app plan1,,00:00,2020-06-11 05:05:43.0,CDP-OCI,0,1302,sds-oalodi-app plan1,1,337,0,116889,2020-06-11 05:05:33.0,Completed,5,5
116888 - 1 - sds-fia-app hourly plan1,,00:19,2020-06-11 05:22:45.0,CDP-OCI,0,1464,sds-fia-app hourly plan1,1,338,0,116888,2020-06-11 05:03:42.0,Completed,1609,4044
116886 - 1 - sds-fia-erp hourly load plan Fin01,,00:02,2020-06-11 05:05:29.0,CDP-OCI,0,463,sds-fia-erp hourly load plan Fin01,1,339,0,116886,2020-06-11 05:02:49.0,Completed,229,408
116885 - 1 - sds-fia-app hourly auto load plan1,,00:00,2020-06-11 05:03:02.0,CDP-OCI,0,1462,sds-fia-app hourly auto load plan1,1,340,0,116885,2020-06-11 05:02:40.0,Completed,178,178
116884 - 1 - appl-monitor-app plan,,00:01,2020-06-11 05:03:49.0,CDP-OCI,0,774,appl-monitor-app plan,1,341,0,116884,2020-06-11 05:02:32.0,Completed,5,5
116881 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 05:02:07.0,CDP-OCI,0,460,sds-fia-app om custom load,1,342,0,116881,2020-06-11 05:01:54.0,Completed,15,15
116887 - 1 - fdl-common-app hourly consume,,00:09,2020-06-11 05:10:45.0,CDP-OCI,0,812,fdl-common-app hourly consume,1,343,0,116887,2020-06-11 05:01:01.0,Completed,48,63
115543 - 1 - sds-gxp-app EO daily load plan,,00:21,2020-06-11 05:22:32.0,CDP-OCI,0,851,sds-gxp-app EO daily load plan,1,344,0,115543,2020-06-11 05:00:43.0,Completed,3,3
116883 - 1 - sds-oalprj-app stream replicate hourly,,00:00,2020-06-11 05:00:52.0,CDP-OCI,0,1345,sds-oalprj-app stream replicate hourly,1,345,0,116883,2020-06-11 05:00:41.0,Completed,5,5
116882 - 1 - apl-scm-app 102 Order Management hourly load plan,,00:44,2020-06-11 05:44:41.0,CDP-OCI,0,848,apl-scm-app 102 Order Management hourly load plan,1,346,0,116882,2020-06-11 05:00:07.0,Completed,37,37
116880 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 04:54:20.0,CDP-OCI,0,460,sds-fia-app om custom load,1,347,0,116880,2020-06-11 04:54:08.0,Completed,15,15
116879 - 1 - apl-scm-core quality conditional load plan,,00:01,2020-06-11 04:54:05.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,348,0,116879,2020-06-11 04:52:12.0,Completed,0,8
116878 - 1 - apl-scm-mfg-quality-conditional,,00:01,2020-06-11 04:48:57.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,349,0,116878,2020-06-11 04:47:04.0,Completed,0,5
116877 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 04:46:35.0,CDP-OCI,0,460,sds-fia-app om custom load,1,350,0,116877,2020-06-11 04:46:21.0,Completed,15,15
116876 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 04:38:47.0,CDP-OCI,0,460,sds-fia-app om custom load,1,351,0,116876,2020-06-11 04:38:34.0,Completed,15,15
116875 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 04:36:31.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,352,0,116875,2020-06-11 04:36:29.0,Completed,0,8
116874 - 1 - apl-scm-scp OPTION LP,,00:00,2020-06-11 04:32:54.0,CDP-OCI,0,1059,apl-scm-scp OPTION LP,1,353,0,116874,2020-06-11 04:32:32.0,Completed,4,7
116873 - 1 - apl-scm-app 101 inventory hourly load plan,,00:23,2020-06-11 04:56:06.0,CDP-OCI,0,758,apl-scm-app 101 inventory hourly load plan,1,354,0,116873,2020-06-11 04:32:32.0,Completed,18,18
116872 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 04:31:23.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,355,0,116872,2020-06-11 04:31:21.0,Completed,0,5
116871 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 04:31:02.0,CDP-OCI,0,460,sds-fia-app om custom load,1,356,0,116871,2020-06-11 04:30:50.0,Completed,15,15
116870 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 04:23:16.0,CDP-OCI,0,460,sds-fia-app om custom load,1,357,0,116870,2020-06-11 04:23:03.0,Completed,15,15
116869 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 04:18:57.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,358,0,116869,2020-06-11 04:18:55.0,Completed,0,8
116868 - 1 - apl-scm-scp MODEL LP,,00:00,2020-06-11 04:17:54.0,CDP-OCI,0,1055,apl-scm-scp MODEL LP,1,359,0,116868,2020-06-11 04:17:32.0,Completed,4,7
116867 - 1 - apl-scm-mfg-quality-conditional,,-1:58,2020-06-11 04:13:49.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,360,0,116867,2020-06-11 04:15:38.0,Completed,0,5
116866 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 04:15:30.0,CDP-OCI,0,460,sds-fia-app om custom load,1,361,0,116866,2020-06-11 04:15:17.0,Completed,15,15
116864 - 1 - apl-scm-app 400 pricing hourly load plan,,00:02,2020-06-11 04:09:28.0,CDP-OCI,0,761,apl-scm-app 400 pricing hourly load plan,1,362,0,116864,2020-06-11 04:06:50.0,Completed,13,13
116865 - 1 - sds-fia-app om custom load,,00:02,2020-06-11 04:07:44.0,CDP-OCI,0,460,sds-fia-app om custom load,1,363,0,116865,2020-06-11 04:05:34.0,Completed,15,15
116860 - 1 - sds-fia-app hourly plan1,,00:17,2020-06-11 04:22:43.0,CDP-OCI,0,1464,sds-fia-app hourly plan1,1,364,0,116860,2020-06-11 04:05:32.0,Completed,1609,4044
116862 - 1 - apl-scm-app 102 Order Management hourly load plan,,00:43,2020-06-11 04:49:26.0,CDP-OCI,0,848,apl-scm-app 102 Order Management hourly load plan,1,365,0,116862,2020-06-11 04:05:31.0,Completed,37,37
116861 - 1 - sds-oalprj-app stream replicate hourly,,-1:58,2020-06-11 04:04:03.0,CDP-OCI,0,1345,sds-oalprj-app stream replicate hourly,1,366,0,116861,2020-06-11 04:05:31.0,Completed,5,5
